"iso","country","year","region","type","consumption","per_capita","percent"
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Oil",1.7724,0.19877,0.40099
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Solar",0.0029,0.00033,0.00066
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Total",4.42004,0.49569,1
"ARE","United Arab Emirates",2015,"Middle East and North Africa","Wind",1e-05,0,0
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Coal",0.07706,0.00857,0.01677
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Natural Gas",2.58951,0.28791,0.56358
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Oil",1.9251,0.21404,0.41898
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Solar",0.00305,0.00034,0.00066
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Total",4.59472,0.51085,1
"ARE","United Arab Emirates",2016,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Coal",0.08914,0.00983,0.02037
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Natural Gas",2.36359,0.26064,0.54017
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Oil",1.91574,0.21126,0.43782
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Solar",0.00714,0.00079,0.00163
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Total",4.3756,0.48252,1
"ARE","United Arab Emirates",2017,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Coal",0.0804,0.0088,0.01941
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Natural Gas",2.14431,0.2346,0.51772
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Oil",1.90573,0.2085,0.46012
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Solar",0.01141,0.00125,0.00276
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Total",4.14185,0.45315,1
"ARE","United Arab Emirates",2018,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Coal",0.07441,0.00808,0.01695
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Natural Gas",2.41881,0.26258,0.55115
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Oil",1.86073,0.202,0.42399
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Solar",0.03469,0.00377,0.0079
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Total",4.38864,0.47642,1
"ARE","United Arab Emirates",2019,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Coal",0.08905,0.00959,0.02053
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Natural Gas",2.44317,0.26307,0.56335
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Nuclear",0.01476,0.00159,0.0034
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Oil",1.74082,0.18744,0.4014
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Other",1e-05,0,0
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Solar",0.04902,0.00528,0.0113
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Total",4.33683,0.46696,1
"ARE","United Arab Emirates",2020,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Coal",0.10855,0.01159,0.02419
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Natural Gas",2.35944,0.25194,0.52587
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Nuclear",0.09535,0.01018,0.02125
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Oil",1.86449,0.19909,0.41556
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Solar",0.0589,0.00629,0.01313
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Total",4.48673,0.47909,1
"ARE","United Arab Emirates",2021,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",2022,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",2022,"Middle East and North Africa","Coal",0.10042,0.01064,0.02057
"ARE","United Arab Emirates",2022,"Middle East and North Africa","Hydro",NA,NA,NA
"ARE","United Arab Emirates",2022,"Middle East and North Africa","Natural Gas",2.38131,0.25223,0.48792
